"area_council","livestock_id","totallivestock"
"central malekula","Horses",6
"central malekula","Pigs",1627
"north east malekula","Cattle",1598
"north east malekula","Chickens",14924
"north east malekula","Ducks",118
"north east malekula","Goats",129
"north west malekula","Cattle",2347
"north west malekula","Chickens",11275
"north west malekula","Ducks",14
"north west malekula","Goats",323
"north west malekula","Horses",6
"north west malekula","Pigs",847
"south east malekula","Cattle",1454
"south east malekula","Chickens",11294
"south east malekula","Ducks",20
"south east malekula","Goats",18
"south east malekula","Horses",2
"south east malekula","Pigs",2227
"south malekula","Cattle",1588
"south malekula","Chickens",8174
"south malekula","Ducks",16
"south malekula","Horses",13
"south malekula","Pigs",2297
"south west malekula","Cattle",2038
"south west malekula","Chickens",6324
"south west malekula","Ducks",28
"south west malekula","Goats",22
"south west malekula","Horses",3
"south west malekula","Pigs",646
"canal - fanafo","Cattle",1552
"canal - fanafo","Goats",510
"canal - fanafo","Horses",75
"canal - fanafo","Sheep",20
"east santo","Cattle",9646
"east santo","Chickens",13694
"east santo","Ducks",139
"east santo","Goats",78
"east santo","Horses",437
"east santo","Pigs",1405
"east santo","Sheep",5
"luganville","Cattle",35637
"luganville","Chickens",9490
"luganville","Ducks",117
"luganville","Goats",346
"luganville","Horses",93
"luganville","Pigs",827
"north santo","Cattle",8627
"north santo","Chickens",11149
"north santo","Ducks",62
"north santo","Goats",689
"north santo","Horses",918
"north santo","Other 1",13
"north santo","Pigs",2246
"north west santo","Cattle",1032
"north west santo","Chickens",4601
"north west santo","Ducks",51
"north west santo","Goats",317
"north west santo","Horses",416
"north west santo","Pigs",1182
"south east santo","Cattle",2581
"south east santo","Chickens",15496
"south east santo","Ducks",264
"south east santo","Goats",162
"south east santo","Horses",39
"south east santo","Pigs",805
"south santo","Cattle",4066
"south santo","Chickens",13110
"south santo","Ducks",130
"south santo","Goats",161
"south santo","Horses",210
"south santo","Pigs",1491
"west santo","Cattle",2048
"west santo","Chickens",5431
"west santo","Ducks",54
"west santo","Goats",751
"west santo","Horses",113
"west santo","Pigs",1298
"erakor","Cattle",1934
"erakor","Chickens",11572
"erakor","Ducks",261
"erakor","Goats",131
"erakor","Horses",78
"erakor","Pigs",1741
"eratap","Cattle",949
"eratap","Chickens",14567
"eratap","Ducks",783
"eratap","Goats",172
"eratap","Other 1",4
"eratap","Pigs",1148
"eratap","Sheep",9
"eton","Cattle",654
"eton","Chickens",9724
"eton","Ducks",194
"eton","Goats",271
"eton","Horses",29
"eton","Pigs",1115
"eton","Sheep",73
"ifira","Cattle",15
"malorua","Cattle",293
"malorua","Ducks",579
"malorua","Goats",128
