"","seeing","sex","area_council","urban_rural","age","population"
"1",NA,NA,"aneityum",2,NA,NA
"2",NA,"Female","aneityum",2,0,23
"3",NA,"Female","aneityum",2,1,24
"4",NA,"Female","aneityum",2,2,31
"5",NA,"Female","aneityum",2,3,25
"6",NA,"Female","aneityum",2,4,25
"7","No, no difficulty","Female","aneityum",2,5,21
"8","No, no difficulty","Female","aneityum",2,6,32
"9","No, no difficulty","Female","aneityum",2,7,22
"10","No, no difficulty","Female","aneityum",2,8,16
"11","No, no difficulty","Female","aneityum",2,9,22
"12","No, no difficulty","Female","aneityum",2,10,22
"13","No, no difficulty","Female","aneityum",2,11,22
"14","No, no difficulty","Female","aneityum",2,12,16
"15","No, no difficulty","Female","aneityum",2,13,14
"16","No, no difficulty","Female","aneityum",2,14,17
"17","No, no difficulty","Female","aneityum",2,15,13
"18","No, no difficulty","Female","aneityum",2,16,18
"19",NA,"Female","aneityum",2,17,10
"20","No, no difficulty","Female","aneityum",2,18,8
"21","No, no difficulty","Female","aneityum",2,19,11
"22","No, no difficulty","Female","aneityum",2,20,11
"23","No, no difficulty","Female","aneityum",2,21,8
"24","No, no difficulty","Female","aneityum",2,22,11
"25","No, no difficulty","Female","aneityum",2,23,11
"26","Yes, some difficulty","Female","aneityum",2,24,9
"27","No, no difficulty","Female","aneityum",2,25,18
"28","No, no difficulty","Female","aneityum",2,26,15
"29","No, no difficulty","Female","aneityum",2,27,10
"30","No, no difficulty","Female","aneityum",2,28,11
"31","No, no difficulty","Female","aneityum",2,29,7
"32","No, no difficulty","Female","aneityum",2,30,12
"33","No, no difficulty","Female","aneityum",2,31,8
"34","No, no difficulty","Female","aneityum",2,32,8
"35","No, no difficulty","Female","aneityum",2,33,10
"36","No, no difficulty","Female","aneityum",2,34,11
"37","No, no difficulty","Female","aneityum",2,35,5
"38","No, no difficulty","Female","aneityum",2,36,4
"39","No, no difficulty","Female","aneityum",2,37,14
"40","No, no difficulty","Female","aneityum",2,38,5
"41","No, no difficulty","Female","aneityum",2,39,6
"42","No, no difficulty","Female","aneityum",2,40,10
"43","No, no difficulty","Female","aneityum",2,41,6
"44","No, no difficulty","Female","aneityum",2,42,6
"45","Yes, some difficulty","Female","aneityum",2,43,5
"46","No, no difficulty","Female","aneityum",2,44,3
"47","No, no difficulty","Female","aneityum",2,45,10
"48","No, no difficulty","Female","aneityum",2,46,16
"49","No, no difficulty","Female","aneityum",2,47,2
"50","No, no difficulty","Female","aneityum",2,48,8
"51","No, no difficulty","Female","aneityum",2,49,5
"52","Yes, some difficulty","Female","aneityum",2,50,3
"53","Yes, some difficulty","Female","aneityum",2,51,7
"54","Yes, some difficulty","Female","aneityum",2,52,4
"55","Yes, some difficulty","Female","aneityum",2,53,6
"56","No, no difficulty","Female","aneityum",2,54,3
"57","No, no difficulty","Female","aneityum",2,55,7
"58","Yes, some difficulty","Female","aneityum",2,56,6
"59","Yes, some difficulty","Female","aneityum",2,57,4
"60","Yes, some difficulty","Female","aneityum",2,58,2
"61","Yes, lots of difficulty","Female","aneityum",2,59,2
"62","Yes, lots of difficulty","Female","aneityum",2,60,2
"63","Yes, some difficulty","Female","aneityum",2,61,1
"64","Yes, some difficulty","Female","aneityum",2,62,1
"65","No, no difficulty","Female","aneityum",2,63,4
"66","No, no difficulty","Female","aneityum",2,65,4
"67","No, no difficulty","Female","aneityum",2,66,5
"68","Yes, some difficulty","Female","aneityum",2,67,2
"69","Yes, lots of difficulty","Female","aneityum",2,68,4
"70","Yes, some difficulty","Female","aneityum",2,69,1
"71","Yes, some difficulty","Female","aneityum",2,70,6
"72","Yes, some difficulty","Female","aneityum",2,73,3
"73","Yes, lots of difficulty","Female","aneityum",2,76,3
"74","Yes, lots of difficulty","Female","aneityum",2,78,2
"75","Yes, lots of difficulty","Female","aneityum",2,80,3
"76","Yes, lots of difficulty","Female","aneityum",2,90,2
"77",NA,"Male","aneityum",2,0,17
"78",NA,"Male","aneityum",2,1,30
"79",NA,"Male","aneityum",2,2,19
"80",NA,"Male","aneityum",2,3,20
"81",NA,"Male","aneityum",2,4,18
"82","No, no difficulty","Male","aneityum",2,5,29
"83","No, no difficulty","Male","aneityum",2,6,20
"84","No, no difficulty","Male","aneityum",2,7,26
"85","No, no difficulty","Male","aneityum",2,8,20
"86","No, no difficulty","Male","aneityum",2,9,14
"87","No, no difficulty","Male","aneityum",2,10,23
"88","No, no difficulty","Male","aneityum",2,11,23
"89","No, no difficulty","Male","aneityum",2,12,17
"90","No, no difficulty","Male","aneityum",2,13,28
"91",NA,"Male","aneityum",2,14,23
"92","No, no difficulty","Male","aneityum",2,15,20
"93","No, no difficulty","Male","aneityum",2,16,25
"94","No, no difficulty","Male","aneityum",2,17,15
"95","No, no difficulty","Male","aneityum",2,18,10
"96","No, no difficulty","Male","aneityum",2,19,10
"97","No, no difficulty","Male","aneityum",2,20,7
"98","No, no difficulty","Male","aneityum",2,21,9
"99","No, no difficulty","Male","aneityum",2,22,18
"100","No, no difficulty","Male","aneityum",2,23,10
"101","No, no difficulty","Male","aneityum",2,24,6
"102","No, no difficulty","Male","aneityum",2,25,17
"103","No, no difficulty","Male","aneityum",2,26,9
"104","No, no difficulty","Male","aneityum",2,27,10
"105","No, no difficulty","Male","aneityum",2,28,11
"106","No, no difficulty","Male","aneityum",2,29,16
"107","No, no difficulty","Male","aneityum",2,30,11
"108","No, no difficulty","Male","aneityum",2,31,7
"109","No, no difficulty","Male","aneityum",2,32,14
"110","No, no difficulty","Male","aneityum",2,33,9
"111","No, no difficulty","Male","aneityum",2,34,14
"112","Yes, some difficulty","Male","aneityum",2,35,14
"113","No, no difficulty","Male","aneityum",2,36,9
"114",NA,"Male","aneityum",2,37,20
"115","No, no difficulty","Male","aneityum",2,38,8
"116","No, no difficulty","Male","aneityum",2,39,3
"117","No, no difficulty","Male","aneityum",2,40,7
"118","No, no difficulty","Male","aneityum",2,41,5
"119","No, no difficulty","Male","aneityum",2,42,2
"120","No, no difficulty","Male","aneityum",2,43,6
"121","No, no difficulty","Male","aneityum",2,44,5
"122","No, no difficulty","Male","aneityum",2,45,8
"123","No, no difficulty","Male","aneityum",2,46,7
"124","No, no difficulty","Male","aneityum",2,47,6
"125","Yes, some difficulty","Male","aneityum",2,48,6
"126","No, no difficulty","Male","aneityum",2,49,4
"127","Yes, some difficulty","Male","aneityum",2,50,7
"128","Yes, some difficulty","Male","aneityum",2,51,6
"129","No, no difficulty","Male","aneityum",2,52,11
"130","Yes, some difficulty","Male","aneityum",2,53,2
"131","No, no difficulty","Male","aneityum",2,54,4
"132","No, no difficulty","Male","aneityum",2,55,4
"133","No, no difficulty","Male","aneityum",2,56,6
"134","Yes, some difficulty","Male","aneityum",2,57,3
"135","No, no difficulty","Male","aneityum",2,58,2
"136","No, no difficulty","Male","aneityum",2,59,2
"137","No, no difficulty","Male","aneityum",2,60,1
"138","Yes, some difficulty","Male","aneityum",2,61,8
"139","No, no difficulty","Male","aneityum",2,62,10
"140","Yes, some difficulty","Male","aneityum",2,63,2
"141","No, no difficulty","Male","aneityum",2,64,2
"142","No, no difficulty","Male","aneityum",2,65,3
"143","Yes, some difficulty","Male","aneityum",2,67,1
"144","Yes, some difficulty","Male","aneityum",2,68,3
"145","Yes, some difficulty","Male","aneityum",2,69,2
"146","No, no difficulty","Male","aneityum",2,70,3
"147","Yes, some difficulty","Male","aneityum",2,71,1
"148","Yes, some difficulty","Male","aneityum",2,73,2
"149","No, no difficulty","Male","aneityum",2,74,1
"150","Yes, some difficulty","Male","aneityum",2,75,1
"151","No, no difficulty","Male","aneityum",2,76,1
"152","Yes, some difficulty","Male","aneityum",2,78,2
"153","Yes, lots of difficulty","Male","aneityum",2,80,1
"154","Yes, some difficulty","Male","aneityum",2,81,1
"155","Yes, lots of difficulty","Male","aneityum",2,82,3
"156","Yes, lots of difficulty","Male","aneityum",2,96,1
"157",NA,"Female","aniwa",2,0,7
"158",NA,"Female","aniwa",2,1,11
"159",NA,"Female","aniwa",2,2,11
"160",NA,"Female","aniwa",2,3,4
"161",NA,"Female","aniwa",2,4,8
"162","No, no difficulty","Female","aniwa",2,5,7
"163","No, no difficulty","Female","aniwa",2,6,6
"164","No, no difficulty","Female","aniwa",2,7,10
"165","No, no difficulty","Female","aniwa",2,8,7
"166","No, no difficulty","Female","aniwa",2,9,8
"167","No, no difficulty","Female","aniwa",2,10,3
"168","No, no difficulty","Female","aniwa",2,11,6
"169","No, no difficulty","Female","aniwa",2,12,7
"170","No, no difficulty","Female","aniwa",2,13,4
"171","No, no difficulty","Female","aniwa",2,14,3
"172","No, no difficulty","Female","aniwa",2,15,4
"173","No, no difficulty","Female","aniwa",2,16,4
"174","No, no difficulty","Female","aniwa",2,17,4
"175","No, no difficulty","Female","aniwa",2,18,4
"176","No, no difficulty","Female","aniwa",2,19,3
"177","No, no difficulty","Female","aniwa",2,20,5
"178","No, no difficulty","Female","aniwa",2,21,1
"179","No, no difficulty","Female","aniwa",2,22,1
"180","No, no difficulty","Female","aniwa",2,23,9
"181","No, no difficulty","Female","aniwa",2,24,3
"182","No, no difficulty","Female","aniwa",2,25,3
"183","No, no difficulty","Female","aniwa",2,26,2
"184","No, no difficulty","Female","aniwa",2,27,2
"185","No, no difficulty","Female","aniwa",2,28,4
"186","No, no difficulty","Female","aniwa",2,29,3
"187","No, no difficulty","Female","aniwa",2,30,5
"188","No, no difficulty","Female","aniwa",2,31,2
"189","No, no difficulty","Female","aniwa",2,32,2
"190","No, no difficulty","Female","aniwa",2,33,2
"191","No, no difficulty","Female","aniwa",2,34,1
"192","No, no difficulty","Female","aniwa",2,35,3
"193","No, no difficulty","Female","aniwa",2,36,3
"194","No, no difficulty","Female","aniwa",2,37,3
"195","Yes, some difficulty","Female","aniwa",2,38,3
"196","No, no difficulty","Female","aniwa",2,39,1
"197","No, no difficulty","Female","aniwa",2,40,4
"198","No, no difficulty","Female","aniwa",2,41,2
"199","No, no difficulty","Female","aniwa",2,42,1
"200","No, no difficulty","Female","aniwa",2,43,4
"201","No, no difficulty","Female","aniwa",2,44,1
"202","No, no difficulty","Female","aniwa",2,45,1
"203","No, no difficulty","Female","aniwa",2,46,5
"204","No, no difficulty","Female","aniwa",2,47,4
"205","No, no difficulty","Female","aniwa",2,48,2
"206","Yes, some difficulty","Female","aniwa",2,49,3
"207","No, no difficulty","Female","aniwa",2,50,3
"208","No, no difficulty","Female","aniwa",2,51,4
"209","No, no difficulty","Female","aniwa",2,52,1
"210","No, no difficulty","Female","aniwa",2,53,2
"211","No, no difficulty","Female","aniwa",2,54,2
"212","No, no difficulty","Female","aniwa",2,55,3
"213","No, no difficulty","Female","aniwa",2,56,3
"214","No, no difficulty","Female","aniwa",2,57,1
"215","No, no difficulty","Female","aniwa",2,58,3
"216","No, no difficulty","Female","aniwa",2,59,1
"217","Yes, some difficulty","Female","aniwa",2,60,4
"218","No, no difficulty","Female","aniwa",2,61,4
"219","Yes, some difficulty","Female","aniwa",2,62,1
"220","No, no difficulty","Female","aniwa",2,64,3
"221","No, no difficulty","Female","aniwa",2,66,1
"222","No, no difficulty","Female","aniwa",2,67,2
"223","No, no difficulty","Female","aniwa",2,68,2
"224","No, no difficulty","Female","aniwa",2,70,3
"225","No, no difficulty","Female","aniwa",2,72,1
"226","No, no difficulty","Female","aniwa",2,75,1
"227","No, no difficulty","Female","aniwa",2,80,1
"228","Yes, some difficulty","Female","aniwa",2,81,1
"229","No, no difficulty","Female","aniwa",2,84,1
"230","No, no difficulty","Female","aniwa",2,86,1
"231",NA,"Male","aniwa",2,0,3
"232",NA,"Male","aniwa",2,1,7
"233",NA,"Male","aniwa",2,2,7
"234",NA,"Male","aniwa",2,3,7
"235",NA,"Male","aniwa",2,4,11
"236","No, no difficulty","Male","aniwa",2,5,6
"237","No, no difficulty","Male","aniwa",2,6,7
"238","No, no difficulty","Male","aniwa",2,7,6
"239","No, no difficulty","Male","aniwa",2,8,8
"240","No, no difficulty","Male","aniwa",2,9,5
"241","No, no difficulty","Male","aniwa",2,10,6
"242","No, no difficulty","Male","aniwa",2,11,2
"243","No, no difficulty","Male","aniwa",2,12,7
"244","No, no difficulty","Male","aniwa",2,13,5
"245","No, no difficulty","Male","aniwa",2,14,5
"246","No, no difficulty","Male","aniwa",2,15,3
"247","No, no difficulty","Male","aniwa",2,16,1
"248","No, no difficulty","Male","aniwa",2,17,3
"249","No, no difficulty","Male","aniwa",2,18,2
"250","No, no difficulty","Male","aniwa",2,20,2
"251","No, no difficulty","Male","aniwa",2,21,1
"252","No, no difficulty","Male","aniwa",2,22,2
"253","No, no difficulty","Male","aniwa",2,23,5
"254","No, no difficulty","Male","aniwa",2,24,1
"255","No, no difficulty","Male","aniwa",2,25,3
"256","No, no difficulty","Male","aniwa",2,26,2
"257","No, no difficulty","Male","aniwa",2,27,4
"258","No, no difficulty","Male","aniwa",2,28,6
"259","No, no difficulty","Male","aniwa",2,29,5
"260","No, no difficulty","Male","aniwa",2,30,4
"261","No, no difficulty","Male","aniwa",2,31,4
"262",NA,"Male","aniwa",2,32,3
"263","No, no difficulty","Male","aniwa",2,33,1
"264","No, no difficulty","Male","aniwa",2,34,5
"265","No, no difficulty","Male","aniwa",2,35,2
"266","No, no difficulty","Male","aniwa",2,36,5
"267","No, no difficulty","Male","aniwa",2,37,3
"268","No, no difficulty","Male","aniwa",2,38,5
"269","No, no difficulty","Male","aniwa",2,39,1
"270","No, no difficulty","Male","aniwa",2,40,1
"271","No, no difficulty","Male","aniwa",2,43,1
"272","No, no difficulty","Male","aniwa",2,45,3
"273","No, no difficulty","Male","aniwa",2,46,5
"274","No, no difficulty","Male","aniwa",2,47,2
"275","No, no difficulty","Male","aniwa",2,48,2
"276","No, no difficulty","Male","aniwa",2,49,1
"277","No, no difficulty","Male","aniwa",2,51,2
"278","No, no difficulty","Male","aniwa",2,52,2
"279","Yes, lots of difficulty","Male","aniwa",2,53,3
"280","No, no difficulty","Male","aniwa",2,54,3
"281","No, no difficulty","Male","aniwa",2,55,2
"282","Yes, some difficulty","Male","aniwa",2,56,2
"283","No, no difficulty","Male","aniwa",2,58,1
"284","No, no difficulty","Male","aniwa",2,61,2
"285","No, no difficulty","Male","aniwa",2,62,1
"286","No, no difficulty","Male","aniwa",2,63,3
"287","No, no difficulty","Male","aniwa",2,64,2
"288","No, no difficulty","Male","aniwa",2,67,2
"289","Yes, some difficulty","Male","aniwa",2,68,1
"290","No, no difficulty","Male","aniwa",2,69,1
"291","No, no difficulty","Male","aniwa",2,70,2
"292","Yes, some difficulty","Male","aniwa",2,71,1
"293","No, no difficulty","Male","aniwa",2,73,2
"294","No, no difficulty","Male","aniwa",2,74,1
"295","No, no difficulty","Male","aniwa",2,75,1
"296","No, no difficulty","Male","aniwa",2,82,2
"297","No, no difficulty","Male","aniwa",2,88,1
"298",NA,"Female","canal - fanafo",2,0,84
"299",NA,"Female","canal - fanafo",2,1,84
"300",NA,"Female","canal - fanafo",2,2,86
"301",NA,"Female","canal - fanafo",2,3,92
"302",NA,"Female","canal - fanafo",2,4,83
"303","No, no difficulty","Female","canal - fanafo",2,5,72
"304","No, no difficulty","Female","canal - fanafo",2,6,87
"305","No, no difficulty","Female","canal - fanafo",2,7,72
"306","No, no difficulty","Female","canal - fanafo",2,8,81
"307","No, no difficulty","Female","canal - fanafo",2,9,60
"308","No, no difficulty","Female","canal - fanafo",2,10,86
"309","No, no difficulty","Female","canal - fanafo",2,11,56
"310","No, no difficulty","Female","canal - fanafo",2,12,69
"311","No, no difficulty","Female","canal - fanafo",2,13,67
"312","No, no difficulty","Female","canal - fanafo",2,14,46
"313","No, no difficulty","Female","canal - fanafo",2,15,55
"314","No, no difficulty","Female","canal - fanafo",2,16,58
"315","No, no difficulty","Female","canal - fanafo",2,17,43
"316","No, no difficulty","Female","canal - fanafo",2,18,46
"317","No, no difficulty","Female","canal - fanafo",2,19,57
"318","No, no difficulty","Female","canal - fanafo",2,20,76
"319","No, no difficulty","Female","canal - fanafo",2,21,43
"320","No, no difficulty","Female","canal - fanafo",2,22,49
"321","No, no difficulty","Female","canal - fanafo",2,23,60
"322","No, no difficulty","Female","canal - fanafo",2,24,74
"323","No, no difficulty","Female","canal - fanafo",2,25,51
"324","No, no difficulty","Female","canal - fanafo",2,26,51
"325","No, no difficulty","Female","canal - fanafo",2,27,36
"326","No, no difficulty","Female","canal - fanafo",2,28,51
"327","No, no difficulty","Female","canal - fanafo",2,29,51
"328","No, no difficulty","Female","canal - fanafo",2,30,44
"329","No, no difficulty","Female","canal - fanafo",2,31,35
"330","No, no difficulty","Female","canal - fanafo",2,32,41
"331","No, no difficulty","Female","canal - fanafo",2,33,27
"332","No, no difficulty","Female","canal - fanafo",2,34,31
"333","No, no difficulty","Female","canal - fanafo",2,35,35
"334","Yes, some difficulty","Female","canal - fanafo",2,36,33
"335","No, no difficulty","Female","canal - fanafo",2,37,29
"336","Yes, some difficulty","Female","canal - fanafo",2,38,27
"337","Yes, some difficulty","Female","canal - fanafo",2,39,23
"338","No, no difficulty","Female","canal - fanafo",2,40,43
"339","No, no difficulty","Female","canal - fanafo",2,41,27
"340","No, no difficulty","Female","canal - fanafo",2,42,30
"341","No, no difficulty","Female","canal - fanafo",2,43,23
"342","No, no difficulty","Female","canal - fanafo",2,44,25
"343","No, no difficulty","Female","canal - fanafo",2,45,27
"344","No, no difficulty","Female","canal - fanafo",2,46,21
"345","No, no difficulty","Female","canal - fanafo",2,47,27
"346","No, no difficulty","Female","canal - fanafo",2,48,25
"347","No, no difficulty","Female","canal - fanafo",2,49,12
"348","No, no difficulty","Female","canal - fanafo",2,50,20
"349","No, no difficulty","Female","canal - fanafo",2,51,13
"350","No, no difficulty","Female","canal - fanafo",2,52,19
"351","No, no difficulty","Female","canal - fanafo",2,53,13
"352","No, no difficulty","Female","canal - fanafo",2,54,10
"353","No, no difficulty","Female","canal - fanafo",2,55,11
"354","No, no difficulty","Female","canal - fanafo",2,56,12
"355","Yes, some difficulty","Female","canal - fanafo",2,57,11
"356","Yes, some difficulty","Female","canal - fanafo",2,58,12
"357","No, no difficulty","Female","canal - fanafo",2,59,4
"358","No, no difficulty","Female","canal - fanafo",2,60,15
"359","No, no difficulty","Female","canal - fanafo",2,61,11
"360","No, no difficulty","Female","canal - fanafo",2,62,7
"361","Yes, some difficulty","Female","canal - fanafo",2,63,8
"362","Yes, some difficulty","Female","canal - fanafo",2,64,9
"363","No, no difficulty","Female","canal - fanafo",2,65,11
"364","No, no difficulty","Female","canal - fanafo",2,66,10
"365","No, no difficulty","Female","canal - fanafo",2,67,9
"366","Yes, some difficulty","Female","canal - fanafo",2,68,11
"367","Yes, some difficulty","Female","canal - fanafo",2,69,4
"368","No, no difficulty","Female","canal - fanafo",2,70,10
"369","No, no difficulty","Female","canal - fanafo",2,71,1
"370","Yes, some difficulty","Female","canal - fanafo",2,72,2
"371","Yes, some difficulty","Female","canal - fanafo",2,73,4
"372","Yes, lots of difficulty","Female","canal - fanafo",2,74,2
"373","Yes, some difficulty","Female","canal - fanafo",2,75,7
"374","No, no difficulty","Female","canal - fanafo",2,76,3
"375","No, no difficulty","Female","canal - fanafo",2,78,6
"376","Yes, lots of difficulty","Female","canal - fanafo",2,80,5
"377","No, no difficulty","Female","canal - fanafo",2,82,2
"378","Yes, some difficulty","Female","canal - fanafo",2,84,2
"379","Yes, lots of difficulty","Female","canal - fanafo",2,85,1
"380","Yes, lots of difficulty","Female","canal - fanafo",2,87,1
"381","Yes, some difficulty","Female","canal - fanafo",2,89,1
"382","Yes, some difficulty","Female","canal - fanafo",2,90,1
"383","Yes, lots of difficulty","Female","canal - fanafo",2,93,1
"384","Yes, some difficulty","Female","canal - fanafo",2,95,1
"385","Yes, lots of difficulty","Female","canal - fanafo",2,96,1
"386","Yes, lots of difficulty","Female","canal - fanafo",2,98,1
"387","Yes, lots of difficulty","Female","canal - fanafo",2,100,2
"388",NA,"Male","canal - fanafo",2,0,89
"389",NA,"Male","canal - fanafo",2,1,92
"390",NA,"Male","canal - fanafo",2,2,78
"391",NA,"Male","canal - fanafo",2,3,92
"392",NA,"Male","canal - fanafo",2,4,104
"393","No, no difficulty","Male","canal - fanafo",2,5,89
"394","No, no difficulty","Male","canal - fanafo",2,6,69
"395","No, no difficulty","Male","canal - fanafo",2,7,96
"396","No, no difficulty","Male","canal - fanafo",2,8,73
"397","No, no difficulty","Male","canal - fanafo",2,9,60
"398","No, no difficulty","Male","canal - fanafo",2,10,82
"399","No, no difficulty","Male","canal - fanafo",2,11,77
"400","No, no difficulty","Male","canal - fanafo",2,12,64
"401","No, no difficulty","Male","canal - fanafo",2,13,91
"402","No, no difficulty","Male","canal - fanafo",2,14,55
"403","No, no difficulty","Male","canal - fanafo",2,15,51
"404","No, no difficulty","Male","canal - fanafo",2,16,59
"405","No, no difficulty","Male","canal - fanafo",2,17,43
"406","No, no difficulty","Male","canal - fanafo",2,18,74
"407","No, no difficulty","Male","canal - fanafo",2,19,54
"408","No, no difficulty","Male","canal - fanafo",2,20,62
"409","No, no difficulty","Male","canal - fanafo",2,21,60
"410","No, no difficulty","Male","canal - fanafo",2,22,51
"411","No, no difficulty","Male","canal - fanafo",2,23,49
"412","No, no difficulty","Male","canal - fanafo",2,24,50
"413","No, no difficulty","Male","canal - fanafo",2,25,61
"414","No, no difficulty","Male","canal - fanafo",2,26,48
"415","No, no difficulty","Male","canal - fanafo",2,27,55
"416","No, no difficulty","Male","canal - fanafo",2,28,75
"417","No, no difficulty","Male","canal - fanafo",2,29,46
"418","No, no difficulty","Male","canal - fanafo",2,30,41
"419","No, no difficulty","Male","canal - fanafo",2,31,42
"420","No, no difficulty","Male","canal - fanafo",2,32,39
"421","No, no difficulty","Male","canal - fanafo",2,33,28
"422","No, no difficulty","Male","canal - fanafo",2,34,43
"423","No, no difficulty","Male","canal - fanafo",2,35,42
"424","No, no difficulty","Male","canal - fanafo",2,36,32
"425","No, no difficulty","Male","canal - fanafo",2,37,45
"426","No, no difficulty","Male","canal - fanafo",2,38,36
"427","Yes, some difficulty","Male","canal - fanafo",2,39,25
"428","No, no difficulty","Male","canal - fanafo",2,40,35
"429","No, no difficulty","Male","canal - fanafo",2,41,24
"430","No, no difficulty","Male","canal - fanafo",2,42,23
"431","No, no difficulty","Male","canal - fanafo",2,43,22
"432","No, no difficulty","Male","canal - fanafo",2,44,22
"433","No, no difficulty","Male","canal - fanafo",2,45,33
"434","No, no difficulty","Male","canal - fanafo",2,46,29
"435","Yes, lots of difficulty","Male","canal - fanafo",2,47,31
"436","No, no difficulty","Male","canal - fanafo",2,48,29
"437","Yes, some difficulty","Male","canal - fanafo",2,49,21
"438","No, no difficulty","Male","canal - fanafo",2,50,14
"439","No, no difficulty","Male","canal - fanafo",2,51,18
"440","Yes, lots of difficulty","Male","canal - fanafo",2,52,15
"441","Yes, some difficulty","Male","canal - fanafo",2,53,12
"442","Yes, some difficulty","Male","canal - fanafo",2,54,18
"443","No, no difficulty","Male","canal - fanafo",2,55,12
"444","Yes, some difficulty","Male","canal - fanafo",2,56,14
"445","Yes, some difficulty","Male","canal - fanafo",2,57,5
"446","No, no difficulty","Male","canal - fanafo",2,58,24
"447","No, no difficulty","Male","canal - fanafo",2,59,9
"448","Yes, some difficulty","Male","canal - fanafo",2,60,26
"449","No, no difficulty","Male","canal - fanafo",2,61,9
"450","Yes, some difficulty","Male","canal - fanafo",2,62,14
"451","Yes, some difficulty","Male","canal - fanafo",2,63,12
"452","No, no difficulty","Male","canal - fanafo",2,64,10
"453","No, no difficulty","Male","canal - fanafo",2,65,11
"454","No, no difficulty","Male","canal - fanafo",2,66,15
"455","No, no difficulty","Male","canal - fanafo",2,67,17
"456","Yes, some difficulty","Male","canal - fanafo",2,68,9
"457","No, no difficulty","Male","canal - fanafo",2,69,7
"458","Yes, some difficulty","Male","canal - fanafo",2,70,7
"459","Yes, some difficulty","Male","canal - fanafo",2,71,1
"460","Yes, lots of difficulty","Male","canal - fanafo",2,72,8
"461","No, no difficulty","Male","canal - fanafo",2,73,3
"462","Yes, lots of difficulty","Male","canal - fanafo",2,74,4
"463","Yes, some difficulty","Male","canal - fanafo",2,75,3
"464","No, no difficulty","Male","canal - fanafo",2,76,7
"465","Yes, some difficulty","Male","canal - fanafo",2,78,5
"466","Yes, some difficulty","Male","canal - fanafo",2,79,1
"467","Yes, some difficulty","Male","canal - fanafo",2,80,3
"468","No, no difficulty","Male","canal - fanafo",2,81,1
"469","No, no difficulty","Male","canal - fanafo",2,82,1
"470","Yes, some difficulty","Male","canal - fanafo",2,83,2
"471","No, no difficulty","Male","canal - fanafo",2,84,2
"472","Yes, some difficulty","Male","canal - fanafo",2,85,1
"473","Yes, some difficulty","Male","canal - fanafo",2,86,1
"474","Yes, lots of difficulty","Male","canal - fanafo",2,89,3
"475","Yes, lots of difficulty","Male","canal - fanafo",2,90,5
"476","No, no difficulty","Male","canal - fanafo",2,95,1
"477","Yes, some difficulty","Male","canal - fanafo",2,100,3
"478",NA,NA,"central malekula",2,NA,NA
"479",NA,"Female","central malekula",2,0,76
"480",NA,"Female","central malekula",2,1,83
"481",NA,"Female","central malekula",2,2,93
"482",NA,"Female","central malekula",2,3,83
"483",NA,"Female","central malekula",2,4,98
"484","No, no difficulty","Female","central malekula",2,5,99
"485","No, no difficulty","Female","central malekula",2,6,95
"486","No, no difficulty","Female","central malekula",2,7,83
"487","No, no difficulty","Female","central malekula",2,8,95
"488","No, no difficulty","Female","central malekula",2,9,75
"489","No, no difficulty","Female","central malekula",2,10,91
"490","No, no difficulty","Female","central malekula",2,11,98
"491","No, no difficulty","Female","central malekula",2,12,74
"492","No, no difficulty","Female","central malekula",2,13,60
"493","No, no difficulty","Female","central malekula",2,14,55
"494","No, no difficulty","Female","central malekula",2,15,60
"495","No, no difficulty","Female","central malekula",2,16,56
"496","No, no difficulty","Female","central malekula",2,17,42
"497","No, no difficulty","Female","central malekula",2,18,45
"498","No, no difficulty","Female","central malekula",2,19,42
"499","No, no difficulty","Female","central malekula",2,20,52
"500","No, no difficulty","Female","central malekula",2,21,47
"501","No, no difficulty","Female","central malekula",2,22,40
"502","No, no difficulty","Female","central malekula",2,23,36
"503","No, no difficulty","Female","central malekula",2,24,67
"504","No, no difficulty","Female","central malekula",2,25,36
"505","No, no difficulty","Female","central malekula",2,26,58
"506","No, no difficulty","Female","central malekula",2,27,56
"507","No, no difficulty","Female","central malekula",2,28,49
"508","No, no difficulty","Female","central malekula",2,29,53
"509","No, no difficulty","Female","central malekula",2,30,62
"510","No, no difficulty","Female","central malekula",2,31,39
"511","No, no difficulty","Female","central malekula",2,32,50
"512","No, no difficulty","Female","central malekula",2,33,51
"513","Yes, some difficulty","Female","central malekula",2,34,49
"514","No, no difficulty","Female","central malekula",2,35,50
"515","No, no difficulty","Female","central malekula",2,36,42
"516","No, no difficulty","Female","central malekula",2,37,33
"517","No, no difficulty","Female","central malekula",2,38,42
"518","No, no difficulty","Female","central malekula",2,39,20
"519","No, no difficulty","Female","central malekula",2,40,43
"520","No, no difficulty","Female","central malekula",2,41,39
"521","No, no difficulty","Female","central malekula",2,42,26
"522","No, no difficulty","Female","central malekula",2,43,37
"523","No, no difficulty","Female","central malekula",2,44,24
"524","No, no difficulty","Female","central malekula",2,45,37
"525","No, no difficulty","Female","central malekula",2,46,36
"526","No, no difficulty","Female","central malekula",2,47,36
"527","No, no difficulty","Female","central malekula",2,48,40
"528","Yes, lots of difficulty","Female","central malekula",2,49,20
"529","No, no difficulty","Female","central malekula",2,50,39
"530","No, no difficulty","Female","central malekula",2,51,32
"531","No, no difficulty","Female","central malekula",2,52,33
"532","Yes, some difficulty","Female","central malekula",2,53,27
"533","Yes, some difficulty","Female","central malekula",2,54,25
