"","remembering","sex","area_council","urban_rural","age_5yr_grp_80","population"
"110","No, no difficulty","Female","central malekula",2,"25-29",251
"111","No, no difficulty","Female","central malekula",2,"30-34",252
"112","No, no difficulty","Female","central malekula",2,"35-39",187
"113","No, no difficulty","Female","central malekula",2,"40-44",169
"114","No, no difficulty","Female","central malekula",2,"45-49",167
"115","No, no difficulty","Female","central malekula",2,"50-54",156
"116","No, no difficulty","Female","central malekula",2,"55-60",107
"117","No, no difficulty","Female","central malekula",2,"60-64",71
"118","No, no difficulty","Female","central malekula",2,"65-69",79
"119","Yes, some difficulty","Female","central malekula",2,"70-74",39
"120","Yes, lots of difficulty","Female","central malekula",2,"75-79",17
"121","Yes, some difficulty","Female","central malekula",2,"80+",27
"122",NA,"Male","central malekula",2," 0-4",458
"123","No, no difficulty","Male","central malekula",2," 5-9",463
"124","No, no difficulty","Male","central malekula",2,"10-14",356
"125","No, no difficulty","Male","central malekula",2,"15-19",269
"126","No, no difficulty","Male","central malekula",2,"20-24",222
"127","No, no difficulty","Male","central malekula",2,"25-29",235
"128","No, no difficulty","Male","central malekula",2,"30-34",217
"129","No, no difficulty","Male","central malekula",2,"35-39",217
"130","No, no difficulty","Male","central malekula",2,"40-44",142
"131","No, no difficulty","Male","central malekula",2,"45-49",173
"132","Yes, some difficulty","Male","central malekula",2,"50-54",144
"133","No, no difficulty","Male","central malekula",2,"55-60",109
"134","No, no difficulty","Male","central malekula",2,"60-64",74
"135","No, no difficulty","Male","central malekula",2,"65-69",57
"136","No, no difficulty","Male","central malekula",2,"70-74",43
"137","No, no difficulty","Male","central malekula",2,"75-79",36
"138","Yes, some difficulty","Male","central malekula",2,"80+",36
"139",NA,"Female","central pentecost 1",2," 0-4",327
"140","Yes, some difficulty","Female","central pentecost 1",2," 5-9",210
"141","No, no difficulty","Female","central pentecost 1",2,"10-14",225
"142","No, no difficulty","Female","central pentecost 1",2,"15-19",197
"143","No, no difficulty","Female","central pentecost 1",2,"20-24",173
"144","No, no difficulty","Female","central pentecost 1",2,"25-29",118
"145","No, no difficulty","Female","central pentecost 1",2,"30-34",111
"146","No, no difficulty","Female","central pentecost 1",2,"35-39",111
"147","No, no difficulty","Female","central pentecost 1",2,"40-44",82
"148","No, no difficulty","Female","central pentecost 1",2,"45-49",78
"149","Yes, some difficulty","Female","central pentecost 1",2,"50-54",64
"150","No, no difficulty","Female","central pentecost 1",2,"55-60",56
"151","No, no difficulty","Female","central pentecost 1",2,"60-64",34
"152","Yes, some difficulty","Female","central pentecost 1",2,"65-69",37
"153","Yes, some difficulty","Female","central pentecost 1",2,"70-74",19
"154","Yes, some difficulty","Female","central pentecost 1",2,"75-79",19
"155","No, no difficulty","Female","central pentecost 1",2,"80+",19
"156",NA,"Male","central pentecost 1",2," 0-4",269
"157","No, no difficulty","Male","central pentecost 1",2," 5-9",245
"158","No, no difficulty","Male","central pentecost 1",2,"10-14",232
"159","No, no difficulty","Male","central pentecost 1",2,"15-19",209
"160","No, no difficulty","Male","central pentecost 1",2,"20-24",172
"161","Yes, some difficulty","Male","central pentecost 1",2,"25-29",125
"162","No, no difficulty","Male","central pentecost 1",2,"30-34",114
"163","No, no difficulty","Male","central pentecost 1",2,"35-39",94
"164","No, no difficulty","Male","central pentecost 1",2,"40-44",90
"165","No, no difficulty","Male","central pentecost 1",2,"45-49",64
"166","No, no difficulty","Male","central pentecost 1",2,"50-54",69
"167","No, no difficulty","Male","central pentecost 1",2,"55-60",45
"168","No, no difficulty","Male","central pentecost 1",2,"60-64",34
"169","No, no difficulty","Male","central pentecost 1",2,"65-69",29
"170","Yes, some difficulty","Male","central pentecost 1",2,"70-74",19
"171","No, no difficulty","Male","central pentecost 1",2,"75-79",10
"172","No, no difficulty","Male","central pentecost 1",2,"80+",22
"173",NA,NA,"central pentecost 2",2,NA,NA
"174",NA,"Female","central pentecost 2",2," 0-4",380
"175","No, no difficulty","Female","central pentecost 2",2," 5-9",352
"176","No, no difficulty","Female","central pentecost 2",2,"10-14",277
"177","No, no difficulty","Female","central pentecost 2",2,"15-19",293
"178","No, no difficulty","Female","central pentecost 2",2,"20-24",202
"179","No, no difficulty","Female","central pentecost 2",2,"25-29",152
"180","No, no difficulty","Female","central pentecost 2",2,"30-34",137
"181","No, no difficulty","Female","central pentecost 2",2,"35-39",155
"182","Yes, some difficulty","Female","central pentecost 2",2,"40-44",133
"183","No, no difficulty","Female","central pentecost 2",2,"45-49",108
"184","No, no difficulty","Female","central pentecost 2",2,"50-54",85
"185","No, no difficulty","Female","central pentecost 2",2,"55-60",48
"186","No, no difficulty","Female","central pentecost 2",2,"60-64",64
"187","Yes, some difficulty","Female","central pentecost 2",2,"65-69",47
"188","Yes, some difficulty","Female","central pentecost 2",2,"70-74",41
"189","Yes, lots of difficulty","Female","central pentecost 2",2,"75-79",25
"190","Yes, lots of difficulty","Female","central pentecost 2",2,"80+",21
"191",NA,"Male","central pentecost 2",2," 0-4",392
"192","No, no difficulty","Male","central pentecost 2",2," 5-9",361
"193","No, no difficulty","Male","central pentecost 2",2,"10-14",300
"194","No, no difficulty","Male","central pentecost 2",2,"15-19",259
"195","No, no difficulty","Male","central pentecost 2",2,"20-24",180
"196","No, no difficulty","Male","central pentecost 2",2,"25-29",143
"197","No, no difficulty","Male","central pentecost 2",2,"30-34",151
"198","No, no difficulty","Male","central pentecost 2",2,"35-39",139
"199","No, no difficulty","Male","central pentecost 2",2,"40-44",133
"200","No, no difficulty","Male","central pentecost 2",2,"45-49",107
"201","No, no difficulty","Male","central pentecost 2",2,"50-54",97
"202","No, no difficulty","Male","central pentecost 2",2,"55-60",60
"203","No, no difficulty","Male","central pentecost 2",2,"60-64",53
"204","No, no difficulty","Male","central pentecost 2",2,"65-69",35
"205","No, no difficulty","Male","central pentecost 2",2,"70-74",26
"206","Yes, lots of difficulty","Male","central pentecost 2",2,"75-79",22
"207","Yes, some difficulty","Male","central pentecost 2",2,"80+",19
"208",NA,NA,"east ambae",2,NA,NA
"209",NA,"Female","east ambae",2," 0-4",123
"210","No, no difficulty","Female","east ambae",2," 5-9",126
"211","No, no difficulty","Female","east ambae",2,"10-14",121
"212","No, no difficulty","Female","east ambae",2,"15-19",83
"213","No, no difficulty","Female","east ambae",2,"20-24",72
"214","No, no difficulty","Female","east ambae",2,"25-29",76
"215","No, no difficulty","Female","east ambae",2,"30-34",82
"216","No, no difficulty","Female","east ambae",2,"35-39",52
"217","No, no difficulty","Female","east ambae",2,"40-44",51
"218","No, no difficulty","Female","east ambae",2,"45-49",44
"219","No, no difficulty","Female","east ambae",2,"50-54",51
"220","No, no difficulty","Female","east ambae",2,"55-60",49
"221","No, no difficulty","Female","east ambae",2,"60-64",27
"222","No, no difficulty","Female","east ambae",2,"65-69",15
"223","Yes, some difficulty","Female","east ambae",2,"70-74",17
"224","No, no difficulty","Female","east ambae",2,"75-79",9
"225","Yes, some difficulty","Female","east ambae",2,"80+",12
"226",NA,"Male","east ambae",2," 0-4",138
"227","No, no difficulty","Male","east ambae",2," 5-9",137
"228","No, no difficulty","Male","east ambae",2,"10-14",157
"229",NA,"Male","east ambae",2,"15-19",98
"230","No, no difficulty","Male","east ambae",2,"20-24",70
"231","No, no difficulty","Male","east ambae",2,"25-29",70
"232","No, no difficulty","Male","east ambae",2,"30-34",87
"233","No, no difficulty","Male","east ambae",2,"35-39",62
"234","No, no difficulty","Male","east ambae",2,"40-44",61
"235","No, no difficulty","Male","east ambae",2,"45-49",59
