"","remembering","sex","area_council","urban_rural","age_5yr_grp_80","population"
"500","No, no difficulty","Female","gaua",2,"80+",9
"501",NA,"Male","gaua",2," 0-4",249
"502","No, no difficulty","Male","gaua",2," 5-9",255
"503","No, no difficulty","Male","gaua",2,"10-14",216
"504","No, no difficulty","Male","gaua",2,"15-19",163
"505","No, no difficulty","Male","gaua",2,"20-24",142
"506","No, no difficulty","Male","gaua",2,"25-29",133
"507","No, no difficulty","Male","gaua",2,"30-34",122
"508","No, no difficulty","Male","gaua",2,"35-39",108
"509","No, no difficulty","Male","gaua",2,"40-44",84
"510","No, no difficulty","Male","gaua",2,"45-49",63
"511","No, no difficulty","Male","gaua",2,"50-54",57
"512","No, no difficulty","Male","gaua",2,"55-60",41
"513","Yes, some difficulty","Male","gaua",2,"60-64",26
"514","No, no difficulty","Male","gaua",2,"65-69",30
"515","No, no difficulty","Male","gaua",2,"70-74",15
"516","No, no difficulty","Male","gaua",2,"75-79",7
"517","Yes, some difficulty","Male","gaua",2,"80+",11
"518",NA,"Female","ifira",2," 0-4",89
"519","No, no difficulty","Female","ifira",2," 5-9",65
"520","No, no difficulty","Female","ifira",2,"10-14",56
"521","No, no difficulty","Female","ifira",2,"15-19",40
"522","No, no difficulty","Female","ifira",2,"20-24",41
"523","No, no difficulty","Female","ifira",2,"25-29",60
"524","No, no difficulty","Female","ifira",2,"30-34",54
"525","No, no difficulty","Female","ifira",2,"35-39",40
"526","No, no difficulty","Female","ifira",2,"40-44",29
"527","No, no difficulty","Female","ifira",2,"45-49",39
"528","No, no difficulty","Female","ifira",2,"50-54",33
"529","No, no difficulty","Female","ifira",2,"55-60",29
"530","No, no difficulty","Female","ifira",2,"60-64",9
"531","Yes, some difficulty","Female","ifira",2,"65-69",14
"532","No, no difficulty","Female","ifira",2,"70-74",11
"533","No, no difficulty","Female","ifira",2,"75-79",4
"534","Cannot do at all","Female","ifira",2,"80+",2
"535",NA,"Male","ifira",2," 0-4",79
"536","No, no difficulty","Male","ifira",2," 5-9",80
"537","No, no difficulty","Male","ifira",2,"10-14",55
"538","No, no difficulty","Male","ifira",2,"15-19",61
"539","No, no difficulty","Male","ifira",2,"20-24",50
"540","No, no difficulty","Male","ifira",2,"25-29",54
"541","No, no difficulty","Male","ifira",2,"30-34",51
"542","No, no difficulty","Male","ifira",2,"35-39",33
"543","No, no difficulty","Male","ifira",2,"40-44",30
"544","No, no difficulty","Male","ifira",2,"45-49",24
"545","No, no difficulty","Male","ifira",2,"50-54",26
"546","No, no difficulty","Male","ifira",2,"55-60",27
"547","No, no difficulty","Male","ifira",2,"60-64",21
"548","Yes, lots of difficulty","Male","ifira",2,"65-69",9
"549","No, no difficulty","Male","ifira",2,"70-74",11
"550","Cannot do at all","Male","ifira",2,"75-79",3
"551","No, no difficulty","Male","ifira",2,"80+",1
"552",NA,NA,"luganville",1,NA,NA
"553",NA,"Female","luganville",1," 0-4",1118
"554","No, no difficulty","Female","luganville",1," 5-9",1045
"555","No, no difficulty","Female","luganville",1,"10-14",922
"556","No, no difficulty","Female","luganville",1,"15-19",905
"557","No, no difficulty","Female","luganville",1,"20-24",798
"558","No, no difficulty","Female","luganville",1,"25-29",818
"559","No, no difficulty","Female","luganville",1,"30-34",688
"560","No, no difficulty","Female","luganville",1,"35-39",489
"561","No, no difficulty","Female","luganville",1,"40-44",465
"562","No, no difficulty","Female","luganville",1,"45-49",370
"563","No, no difficulty","Female","luganville",1,"50-54",355
"564","No, no difficulty","Female","luganville",1,"55-60",268
"565","No, no difficulty","Female","luganville",1,"60-64",189
"566","No, no difficulty","Female","luganville",1,"65-69",128
"567","No, no difficulty","Female","luganville",1,"70-74",65
"568","No, no difficulty","Female","luganville",1,"75-79",43
"569","No, no difficulty","Female","luganville",1,"80+",45
"570",NA,"Male","luganville",1," 0-4",1202
"571","No, no difficulty","Male","luganville",1," 5-9",1158
"572","No, no difficulty","Male","luganville",1,"10-14",978
"573","No, no difficulty","Male","luganville",1,"15-19",907
"574","No, no difficulty","Male","luganville",1,"20-24",848
"575","No, no difficulty","Male","luganville",1,"25-29",885
"576","No, no difficulty","Male","luganville",1,"30-34",578
"577",NA,"Male","luganville",1,"35-39",523
"578","No, no difficulty","Male","luganville",1,"40-44",420
"579","No, no difficulty","Male","luganville",1,"45-49",416
"580","No, no difficulty","Male","luganville",1,"50-54",364
"581","No, no difficulty","Male","luganville",1,"55-60",267
"582","No, no difficulty","Male","luganville",1,"60-64",191
"583","No, no difficulty","Male","luganville",1,"65-69",129
"584","Yes, some difficulty","Male","luganville",1,"70-74",79
"585","No, no difficulty","Male","luganville",1,"75-79",47
"586","No, no difficulty","Male","luganville",1,"80+",57
"587",NA,"Female","makimae",2," 0-4",52
"588","No, no difficulty","Female","makimae",2," 5-9",70
"589","No, no difficulty","Female","makimae",2,"10-14",64
"590","No, no difficulty","Female","makimae",2,"15-19",50
"591","No, no difficulty","Female","makimae",2,"20-24",27
"592","No, no difficulty","Female","makimae",2,"25-29",35
"593","No, no difficulty","Female","makimae",2,"30-34",34
"594","No, no difficulty","Female","makimae",2,"35-39",33
"595","No, no difficulty","Female","makimae",2,"40-44",27
"596","No, no difficulty","Female","makimae",2,"45-49",26
"597","No, no difficulty","Female","makimae",2,"50-54",30
"598","No, no difficulty","Female","makimae",2,"55-60",18
"599","No, no difficulty","Female","makimae",2,"60-64",22
"600","No, no difficulty","Female","makimae",2,"65-69",13
"601","Yes, lots of difficulty","Female","makimae",2,"70-74",14
"602","No, no difficulty","Female","makimae",2,"75-79",5
"603","No, no difficulty","Female","makimae",2,"80+",9
"604",NA,"Male","makimae",2," 0-4",60
"605","No, no difficulty","Male","makimae",2," 5-9",89
"606","No, no difficulty","Male","makimae",2,"10-14",91
"607","No, no difficulty","Male","makimae",2,"15-19",70
"608","No, no difficulty","Male","makimae",2,"20-24",41
"609","No, no difficulty","Male","makimae",2,"25-29",29
"610","No, no difficulty","Male","makimae",2,"30-34",46
"611","No, no difficulty","Male","makimae",2,"35-39",25
"612","No, no difficulty","Male","makimae",2,"40-44",22
"613","No, no difficulty","Male","makimae",2,"45-49",19
"614","No, no difficulty","Male","makimae",2,"50-54",29
"615","No, no difficulty","Male","makimae",2,"55-60",21
"616","No, no difficulty","Male","makimae",2,"60-64",12
"617","No, no difficulty","Male","makimae",2,"65-69",13
"618","No, no difficulty","Male","makimae",2,"70-74",7
"619","No, no difficulty","Male","makimae",2,"75-79",10
"620","Yes, lots of difficulty","Male","makimae",2,"80+",5
"621",NA,NA,"malorua",2,NA,NA
"622",NA,"Female","malorua",2," 0-4",238
"623","No, no difficulty","Female","malorua",2," 5-9",231
"624","No, no difficulty","Female","malorua",2,"10-14",189
"625","No, no difficulty","Female","malorua",2,"15-19",204
"626","No, no difficulty","Female","malorua",2,"20-24",144
"627","No, no difficulty","Female","malorua",2,"25-29",170
"628","No, no difficulty","Female","malorua",2,"30-34",120
"629","No, no difficulty","Female","malorua",2,"35-39",137
"630","No, no difficulty","Female","malorua",2,"40-44",104
"631","No, no difficulty","Female","malorua",2,"45-49",64
"632","No, no difficulty","Female","malorua",2,"50-54",83
"633","Yes, some difficulty","Female","malorua",2,"55-60",54
"634","No, no difficulty","Female","malorua",2,"60-64",43
"635","No, no difficulty","Female","malorua",2,"65-69",31
"636","No, no difficulty","Female","malorua",2,"70-74",23
"637","Yes, some difficulty","Female","malorua",2,"75-79",17
"638","Yes, some difficulty","Female","malorua",2,"80+",9
"639",NA,"Male","malorua",2," 0-4",246
"640","No, no difficulty","Male","malorua",2," 5-9",257
"641","No, no difficulty","Male","malorua",2,"10-14",202
"642","No, no difficulty","Male","malorua",2,"15-19",189
"643","No, no difficulty","Male","malorua",2,"20-24",156
"644","No, no difficulty","Male","malorua",2,"25-29",148
"645","No, no difficulty","Male","malorua",2,"30-34",126
"646","No, no difficulty","Male","malorua",2,"35-39",129
"647","No, no difficulty","Male","malorua",2,"40-44",118
"648","No, no difficulty","Male","malorua",2,"45-49",83
"649","No, no difficulty","Male","malorua",2,"50-54",84
"650","No, no difficulty","Male","malorua",2,"55-60",58
"651","No, no difficulty","Male","malorua",2,"60-64",58
"652","No, no difficulty","Male","malorua",2,"65-69",31
"653","No, no difficulty","Male","malorua",2,"70-74",32
"654","No, no difficulty","Male","malorua",2,"75-79",20
"655","Yes, some difficulty","Male","malorua",2,"80+",5
"656",NA,NA,"mele",2,NA,NA
"657",NA,"Female","mele",2," 0-4",398
"658","No, no difficulty","Female","mele",2," 5-9",327
"659","No, no difficulty","Female","mele",2,"10-14",330
"660","No, no difficulty","Female","mele",2,"15-19",281
"661","No, no difficulty","Female","mele",2,"20-24",314
"662","No, no difficulty","Female","mele",2,"25-29",298
"663","No, no difficulty","Female","mele",2,"30-34",267
"664","No, no difficulty","Female","mele",2,"35-39",194
"665","No, no difficulty","Female","mele",2,"40-44",167
"666","No, no difficulty","Female","mele",2,"45-49",172
"667","No, no difficulty","Female","mele",2,"50-54",138
"668","No, no difficulty","Female","mele",2,"55-60",114
"669","No, no difficulty","Female","mele",2,"60-64",69
"670","No, no difficulty","Female","mele",2,"65-69",51
"671","No, no difficulty","Female","mele",2,"70-74",36
"672","Yes, lots of difficulty","Female","mele",2,"75-79",25
"673","No, no difficulty","Female","mele",2,"80+",16
"674",NA,"Male","mele",2," 0-4",419
"675","No, no difficulty","Male","mele",2," 5-9",349
"676","No, no difficulty","Male","mele",2,"10-14",321
"677","No, no difficulty","Male","mele",2,"15-19",307
"678","No, no difficulty","Male","mele",2,"20-24",302
"679","No, no difficulty","Male","mele",2,"25-29",287
"680","No, no difficulty","Male","mele",2,"30-34",236
"681","Yes, some difficulty","Male","mele",2,"35-39",169
"682","No, no difficulty","Male","mele",2,"40-44",167
"683","No, no difficulty","Male","mele",2,"45-49",165
"684","No, no difficulty","Male","mele",2,"50-54",149
"685","No, no difficulty","Male","mele",2,"55-60",109
"686","No, no difficulty","Male","mele",2,"60-64",76
"687","No, no difficulty","Male","mele",2,"65-69",60
"688","No, no difficulty","Male","mele",2,"70-74",39
"689","No, no difficulty","Male","mele",2,"75-79",22
"690","No, no difficulty","Male","mele",2,"80+",16
"691",NA,"Female","merelava",2," 0-4",31
"692","No, no difficulty","Female","merelava",2," 5-9",52
"693","No, no difficulty","Female","merelava",2,"10-14",45
"694","No, no difficulty","Female","merelava",2,"15-19",26
"695","No, no difficulty","Female","merelava",2,"20-24",21
"696","No, no difficulty","Female","merelava",2,"25-29",23
"697","No, no difficulty","Female","merelava",2,"30-34",19
"698","No, no difficulty","Female","merelava",2,"35-39",29
"699","No, no difficulty","Female","merelava",2,"40-44",16
"700","No, no difficulty","Female","merelava",2,"45-49",14
"701","No, no difficulty","Female","merelava",2,"50-54",11
"702","No, no difficulty","Female","merelava",2,"55-60",10
"703","Yes, some difficulty","Female","merelava",2,"60-64",12
"704","Yes, some difficulty","Female","merelava",2,"65-69",13
"705","Yes, lots of difficulty","Female","merelava",2,"70-74",5
"706","No, no difficulty","Female","merelava",2,"75-79",2
"707","Yes, lots of difficulty","Female","merelava",2,"80+",8
"708",NA,"Male","merelava",2," 0-4",41
"709","No, no difficulty","Male","merelava",2," 5-9",51
"710","No, no difficulty","Male","merelava",2,"10-14",51
"711","Yes, some difficulty","Male","merelava",2,"15-19",28
"712","No, no difficulty","Male","merelava",2,"20-24",21
"713","No, no difficulty","Male","merelava",2,"25-29",22
"714","No, no difficulty","Male","merelava",2,"30-34",17
"715","No, no difficulty","Male","merelava",2,"35-39",19
"716","No, no difficulty","Male","merelava",2,"40-44",15
"717","No, no difficulty","Male","merelava",2,"45-49",11
"718","No, no difficulty","Male","merelava",2,"50-54",5
"719","No, no difficulty","Male","merelava",2,"55-60",3
"720","No, no difficulty","Male","merelava",2,"60-64",6
"721","No, no difficulty","Male","merelava",2,"65-69",7
"722","No, no difficulty","Male","merelava",2,"70-74",6
"723","No, no difficulty","Male","merelava",2,"75-79",7
"724","No, no difficulty","Male","merelava",2,"80+",9
"725",NA,"Female","middle bush tanna",2," 0-4",455
"726","No, no difficulty","Female","middle bush tanna",2," 5-9",502
"727","No, no difficulty","Female","middle bush tanna",2,"10-14",431
"728","No, no difficulty","Female","middle bush tanna",2,"15-19",322
"729","No, no difficulty","Female","middle bush tanna",2,"20-24",336
"730","No, no difficulty","Female","middle bush tanna",2,"25-29",255
"731","No, no difficulty","Female","middle bush tanna",2,"30-34",234
"732","No, no difficulty","Female","middle bush tanna",2,"35-39",157
"733","No, no difficulty","Female","middle bush tanna",2,"40-44",133
"734","No, no difficulty","Female","middle bush tanna",2,"45-49",124
"735","Yes, some difficulty","Female","middle bush tanna",2,"50-54",100
"736","No, no difficulty","Female","middle bush tanna",2,"55-60",77
"737","Yes, some difficulty","Female","middle bush tanna",2,"60-64",104
"738","No, no difficulty","Female","middle bush tanna",2,"65-69",46
"739","Yes, some difficulty","Female","middle bush tanna",2,"70-74",35
"740","No, no difficulty","Female","middle bush tanna",2,"75-79",18
"741","No, no difficulty","Female","middle bush tanna",2,"80+",27
"742",NA,"Male","middle bush tanna",2," 0-4",570
"743","No, no difficulty","Male","middle bush tanna",2," 5-9",499
"744","No, no difficulty","Male","middle bush tanna",2,"10-14",513
"745","No, no difficulty","Male","middle bush tanna",2,"15-19",335
"746","No, no difficulty","Male","middle bush tanna",2,"20-24",291
"747","No, no difficulty","Male","middle bush tanna",2,"25-29",231
"748","No, no difficulty","Male","middle bush tanna",2,"30-34",207
"749","No, no difficulty","Male","middle bush tanna",2,"35-39",159
"750","No, no difficulty","Male","middle bush tanna",2,"40-44",147
"751","No, no difficulty","Male","middle bush tanna",2,"45-49",118
"752","No, no difficulty","Male","middle bush tanna",2,"50-54",95
"753","No, no difficulty","Male","middle bush tanna",2,"55-60",78
"754","No, no difficulty","Male","middle bush tanna",2,"60-64",73
"755","No, no difficulty","Male","middle bush tanna",2,"65-69",42
"756","No, no difficulty","Male","middle bush tanna",2,"70-74",42
"757","No, no difficulty","Male","middle bush tanna",2,"75-79",22
"758","Yes, some difficulty","Male","middle bush tanna",2,"80+",20
"759",NA,NA,"mota",2,NA,NA
"760",NA,"Female","mota",2," 0-4",39
"761","No, no difficulty","Female","mota",2," 5-9",36
"762","No, no difficulty","Female","mota",2,"10-14",25
"763","No, no difficulty","Female","mota",2,"15-19",20
"764","No, no difficulty","Female","mota",2,"20-24",12
"765","No, no difficulty","Female","mota",2,"25-29",26
"766","No, no difficulty","Female","mota",2,"30-34",21
"767","No, no difficulty","Female","mota",2,"35-39",17
"768","No, no difficulty","Female","mota",2,"40-44",10
"769","No, no difficulty","Female","mota",2,"45-49",15
"770","No, no difficulty","Female","mota",2,"50-54",10
"771","Yes, some difficulty","Female","mota",2,"55-60",18
"772","Yes, some difficulty","Female","mota",2,"60-64",5
"773","Yes, some difficulty","Female","mota",2,"65-69",9
"774","No, no difficulty","Female","mota",2,"70-74",5
"775","Yes, lots of difficulty","Female","mota",2,"75-79",2
"776","Yes, lots of difficulty","Female","mota",2,"80+",4
"777",NA,"Male","mota",2," 0-4",38
"778","No, no difficulty","Male","mota",2," 5-9",53
"779","No, no difficulty","Male","mota",2,"10-14",38
"780","No, no difficulty","Male","mota",2,"15-19",27
"781","No, no difficulty","Male","mota",2,"20-24",10
"782","No, no difficulty","Male","mota",2,"25-29",19
"783","No, no difficulty","Male","mota",2,"30-34",18
"784","No, no difficulty","Male","mota",2,"35-39",19
"785","No, no difficulty","Male","mota",2,"40-44",17
"786","No, no difficulty","Male","mota",2,"45-49",10
"787","No, no difficulty","Male","mota",2,"50-54",17
"788","No, no difficulty","Male","mota",2,"55-60",10
"789","No, no difficulty","Male","mota",2,"60-64",4
"790","No, no difficulty","Male","mota",2,"65-69",4
"791","No, no difficulty","Male","mota",2,"70-74",2
"792","No, no difficulty","Male","mota",2,"75-79",5
"793","Yes, some difficulty","Male","mota",2,"80+",5
"794",NA,NA,"motalava",2,NA,NA
"795",NA,"Female","motalava",2," 0-4",113
"796","No, no difficulty","Female","motalava",2," 5-9",93
"797","No, no difficulty","Female","motalava",2,"10-14",116
"798","No, no difficulty","Female","motalava",2,"15-19",61
"799","No, no difficulty","Female","motalava",2,"20-24",48
"800","No, no difficulty","Female","motalava",2,"25-29",84
"801","No, no difficulty","Female","motalava",2,"30-34",61
"802","No, no difficulty","Female","motalava",2,"35-39",39
"803","No, no difficulty","Female","motalava",2,"40-44",48
"804","No, no difficulty","Female","motalava",2,"45-49",42
"805","No, no difficulty","Female","motalava",2,"50-54",31
"806","Yes, some difficulty","Female","motalava",2,"55-60",25
"807","No, no difficulty","Female","motalava",2,"60-64",32
"808","Yes, some difficulty","Female","motalava",2,"65-69",19
"809","No, no difficulty","Female","motalava",2,"70-74",18
"810","Cannot do at all","Female","motalava",2,"75-79",9
"811","Yes, some difficulty","Female","motalava",2,"80+",20
"812",NA,"Male","motalava",2," 0-4",120
"813","No, no difficulty","Male","motalava",2," 5-9",119
"814","No, no difficulty","Male","motalava",2,"10-14",70
"815","No, no difficulty","Male","motalava",2,"15-19",78
"816","No, no difficulty","Male","motalava",2,"20-24",66
"817","No, no difficulty","Male","motalava",2,"25-29",65
"818","No, no difficulty","Male","motalava",2,"30-34",65
"819","No, no difficulty","Male","motalava",2,"35-39",58
"820","No, no difficulty","Male","motalava",2,"40-44",41
"821","Yes, lots of difficulty","Male","motalava",2,"45-49",41
"822","No, no difficulty","Male","motalava",2,"50-54",36
"823","No, no difficulty","Male","motalava",2,"55-60",21
"824","Yes, some difficulty","Male","motalava",2,"60-64",22
"825","No, no difficulty","Male","motalava",2,"65-69",22
"826","No, no difficulty","Male","motalava",2,"70-74",9
"827","Yes, some difficulty","Male","motalava",2,"75-79",12
"828","Yes, lots of difficulty","Male","motalava",2,"80+",11
"829",NA,"Female","nguna",2," 0-4",104
"830","No, no difficulty","Female","nguna",2," 5-9",121
"831","No, no difficulty","Female","nguna",2,"10-14",101
"832","No, no difficulty","Female","nguna",2,"15-19",55
"833","No, no difficulty","Female","nguna",2,"20-24",54
"834","No, no difficulty","Female","nguna",2,"25-29",66
"835","No, no difficulty","Female","nguna",2,"30-34",68
"836","No, no difficulty","Female","nguna",2,"35-39",52
"837","No, no difficulty","Female","nguna",2,"40-44",50
"838","No, no difficulty","Female","nguna",2,"45-49",37
"839","Yes, some difficulty","Female","nguna",2,"50-54",38
"840","Yes, some difficulty","Female","nguna",2,"55-60",47
"841","No, no difficulty","Female","nguna",2,"60-64",34
"842","No, no difficulty","Female","nguna",2,"65-69",34
"843","No, no difficulty","Female","nguna",2,"70-74",25
"844","No, no difficulty","Female","nguna",2,"75-79",16
"845","Yes, lots of difficulty","Female","nguna",2,"80+",9
"846",NA,"Male","nguna",2," 0-4",97
"847","No, no difficulty","Male","nguna",2," 5-9",150
"848","No, no difficulty","Male","nguna",2,"10-14",129
"849","No, no difficulty","Male","nguna",2,"15-19",70
"850","No, no difficulty","Male","nguna",2,"20-24",66
"851","No, no difficulty","Male","nguna",2,"25-29",50
"852","No, no difficulty","Male","nguna",2,"30-34",42
"853","No, no difficulty","Male","nguna",2,"35-39",47
"854","No, no difficulty","Male","nguna",2,"40-44",41
"855","No, no difficulty","Male","nguna",2,"45-49",37
"856","No, no difficulty","Male","nguna",2,"50-54",34
"857","No, no difficulty","Male","nguna",2,"55-60",40
"858","No, no difficulty","Male","nguna",2,"60-64",40
"859","No, no difficulty","Male","nguna",2,"65-69",25
"860","No, no difficulty","Male","nguna",2,"70-74",21
"861","No, no difficulty","Male","nguna",2,"75-79",16
"862","No, no difficulty","Male","nguna",2,"80+",6
"863",NA,"Female","north ambae",2," 0-4",150
"864","No, no difficulty","Female","north ambae",2," 5-9",172
"865","No, no difficulty","Female","north ambae",2,"10-14",204
"866","No, no difficulty","Female","north ambae",2,"15-19",201
"867","No, no difficulty","Female","north ambae",2,"20-24",78
"868","No, no difficulty","Female","north ambae",2,"25-29",87
"869","No, no difficulty","Female","north ambae",2,"30-34",88
"870","No, no difficulty","Female","north ambae",2,"35-39",58
"871","No, no difficulty","Female","north ambae",2,"40-44",69
"872","No, no difficulty","Female","north ambae",2,"45-49",63
"873","No, no difficulty","Female","north ambae",2,"50-54",55
"874","Yes, some difficulty","Female","north ambae",2,"55-60",46
"875","No, no difficulty","Female","north ambae",2,"60-64",33
"876","Yes, some difficulty","Female","north ambae",2,"65-69",31
"877","No, no difficulty","Female","north ambae",2,"70-74",16
"878","No, no difficulty","Female","north ambae",2,"75-79",20
"879","Yes, lots of difficulty","Female","north ambae",2,"80+",22
"880",NA,"Male","north ambae",2," 0-4",185
"881","No, no difficulty","Male","north ambae",2," 5-9",191
"882","No, no difficulty","Male","north ambae",2,"10-14",209
"883","No, no difficulty","Male","north ambae",2,"15-19",226
"884","No, no difficulty","Male","north ambae",2,"20-24",96
"885","No, no difficulty","Male","north ambae",2,"25-29",107
"886","No, no difficulty","Male","north ambae",2,"30-34",64
"887","No, no difficulty","Male","north ambae",2,"35-39",64
"888","No, no difficulty","Male","north ambae",2,"40-44",67
"889","No, no difficulty","Male","north ambae",2,"45-49",68
"890","No, no difficulty","Male","north ambae",2,"50-54",52
"891","No, no difficulty","Male","north ambae",2,"55-60",49
"892","No, no difficulty","Male","north ambae",2,"60-64",34
"893","No, no difficulty","Male","north ambae",2,"65-69",24
"894","No, no difficulty","Male","north ambae",2,"70-74",19
"895","No, no difficulty","Male","north ambae",2,"75-79",12
"896","No, no difficulty","Male","north ambae",2,"80+",9
"897",NA,"Female","north ambrym",2," 0-4",233
"898","No, no difficulty","Female","north ambrym",2," 5-9",235
"899","No, no difficulty","Female","north ambrym",2,"10-14",220
"900","No, no difficulty","Female","north ambrym",2,"15-19",198
"901","No, no difficulty","Female","north ambrym",2,"20-24",143
"902","No, no difficulty","Female","north ambrym",2,"25-29",126
"903","No, no difficulty","Female","north ambrym",2,"30-34",121
"904","No, no difficulty","Female","north ambrym",2,"35-39",96
"905","No, no difficulty","Female","north ambrym",2,"40-44",97
"906","No, no difficulty","Female","north ambrym",2,"45-49",77
"907","No, no difficulty","Female","north ambrym",2,"50-54",62
"908","No, no difficulty","Female","north ambrym",2,"55-60",66
"909","Yes, some difficulty","Female","north ambrym",2,"60-64",48
"910","No, no difficulty","Female","north ambrym",2,"65-69",32
"911","Yes, some difficulty","Female","north ambrym",2,"70-74",34
"912","Yes, lots of difficulty","Female","north ambrym",2,"75-79",29
"913","No, no difficulty","Female","north ambrym",2,"80+",33
"914",NA,"Male","north ambrym",2," 0-4",232
"915","No, no difficulty","Male","north ambrym",2," 5-9",229
"916","No, no difficulty","Male","north ambrym",2,"10-14",223
"917","No, no difficulty","Male","north ambrym",2,"15-19",216
"918","No, no difficulty","Male","north ambrym",2,"20-24",152
"919","No, no difficulty","Male","north ambrym",2,"25-29",125
"920","No, no difficulty","Male","north ambrym",2,"30-34",113
"921","No, no difficulty","Male","north ambrym",2,"35-39",130
"922","No, no difficulty","Male","north ambrym",2,"40-44",94
"923","No, no difficulty","Male","north ambrym",2,"45-49",96
"924","No, no difficulty","Male","north ambrym",2,"50-54",82
"925","No, no difficulty","Male","north ambrym",2,"55-60",48
"926","No, no difficulty","Male","north ambrym",2,"60-64",34
"927","No, no difficulty","Male","north ambrym",2,"65-69",45
"928","Yes, some difficulty","Male","north ambrym",2,"70-74",27
"929","Yes, some difficulty","Male","north ambrym",2,"75-79",21
"930","Yes, some difficulty","Male","north ambrym",2,"80+",24
"931",NA,NA,"north east malekula",2,NA,NA
"932",NA,"Female","north east malekula",2," 0-4",455
"933","No, no difficulty","Female","north east malekula",2," 5-9",500
"934","No, no difficulty","Female","north east malekula",2,"10-14",441
"935","No, no difficulty","Female","north east malekula",2,"15-19",294
"936","No, no difficulty","Female","north east malekula",2,"20-24",217
"937","No, no difficulty","Female","north east malekula",2,"25-29",206
"938","No, no difficulty","Female","north east malekula",2,"30-34",233
"939","No, no difficulty","Female","north east malekula",2,"35-39",230
"940","No, no difficulty","Female","north east malekula",2,"40-44",153
"941","No, no difficulty","Female","north east malekula",2,"45-49",154
"942","No, no difficulty","Female","north east malekula",2,"50-54",129
"943","No, no difficulty","Female","north east malekula",2,"55-60",137
"944","No, no difficulty","Female","north east malekula",2,"60-64",115
"945","No, no difficulty","Female","north east malekula",2,"65-69",91
"946","Yes, some difficulty","Female","north east malekula",2,"70-74",48
"947","No, no difficulty","Female","north east malekula",2,"75-79",46
"948","No, no difficulty","Female","north east malekula",2,"80+",61
"949",NA,"Male","north east malekula",2," 0-4",461
"950","Yes, some difficulty","Male","north east malekula",2," 5-9",505
"951","No, no difficulty","Male","north east malekula",2,"10-14",471
"952","No, no difficulty","Male","north east malekula",2,"15-19",324
"953","No, no difficulty","Male","north east malekula",2,"20-24",208
"954","No, no difficulty","Male","north east malekula",2,"25-29",167
"955","No, no difficulty","Male","north east malekula",2,"30-34",225
"956","No, no difficulty","Male","north east malekula",2,"35-39",191
"957","No, no difficulty","Male","north east malekula",2,"40-44",184
"958","No, no difficulty","Male","north east malekula",2,"45-49",141
"959","No, no difficulty","Male","north east malekula",2,"50-54",117
"960","No, no difficulty","Male","north east malekula",2,"55-60",124
"961","No, no difficulty","Male","north east malekula",2,"60-64",90
"962","Cannot do at all","Male","north east malekula",2,"65-69",93
"963","No, no difficulty","Male","north east malekula",2,"70-74",65
"964","No, no difficulty","Male","north east malekula",2,"75-79",34
"965","No, no difficulty","Male","north east malekula",2,"80+",57
"966",NA,NA,"north efate",2,NA,NA
"967",NA,"Female","north efate",2," 0-4",204
"968","No, no difficulty","Female","north efate",2," 5-9",219
"969","No, no difficulty","Female","north efate",2,"10-14",212
"970","No, no difficulty","Female","north efate",2,"15-19",232
"971","No, no difficulty","Female","north efate",2,"20-24",147
"972","No, no difficulty","Female","north efate",2,"25-29",146
"973","No, no difficulty","Female","north efate",2,"30-34",122
"974","No, no difficulty","Female","north efate",2,"35-39",93
"975","No, no difficulty","Female","north efate",2,"40-44",97
"976","No, no difficulty","Female","north efate",2,"45-49",89
"977","No, no difficulty","Female","north efate",2,"50-54",61
"978","No, no difficulty","Female","north efate",2,"55-60",63
"979","No, no difficulty","Female","north efate",2,"60-64",46
"980","No, no difficulty","Female","north efate",2,"65-69",41
"981","No, no difficulty","Female","north efate",2,"70-74",17
"982","No, no difficulty","Female","north efate",2,"75-79",20
"983","No, no difficulty","Female","north efate",2,"80+",16
"984",NA,"Male","north efate",2," 0-4",202
"985","No, no difficulty","Male","north efate",2," 5-9",227
"986","No, no difficulty","Male","north efate",2,"10-14",199
"987","No, no difficulty","Male","north efate",2,"15-19",225
"988","No, no difficulty","Male","north efate",2,"20-24",171
"989","No, no difficulty","Male","north efate",2,"25-29",129
"990","No, no difficulty","Male","north efate",2,"30-34",116
"991","No, no difficulty","Male","north efate",2,"35-39",85
"992","No, no difficulty","Male","north efate",2,"40-44",75
"993","No, no difficulty","Male","north efate",2,"45-49",85
"994","No, no difficulty","Male","north efate",2,"50-54",72
"995","No, no difficulty","Male","north efate",2,"55-60",56
"996","No, no difficulty","Male","north efate",2,"60-64",45
"997","No, no difficulty","Male","north efate",2,"65-69",35
"998","Yes, some difficulty","Male","north efate",2,"70-74",31
"999","Yes, some difficulty","Male","north efate",2,"75-79",11
"1000","Yes, some difficulty","Male","north efate",2,"80+",20
"1001",NA,"Female","north erromango",2," 0-4",142
"1002","No, no difficulty","Female","north erromango",2," 5-9",119
"1003","No, no difficulty","Female","north erromango",2,"10-14",113
"1004",NA,"Female","north erromango",2,"15-19",98
"1005","No, no difficulty","Female","north erromango",2,"20-24",57
"1006","No, no difficulty","Female","north erromango",2,"25-29",61
"1007","No, no difficulty","Female","north erromango",2,"30-34",52
"1008","No, no difficulty","Female","north erromango",2,"35-39",38
